,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Algeria,Ethane - Production,Ethane,Production,2016,"Metric tons,  thousand",0.0,
1,Algeria,Ethane - Production,Ethane,Production,2015,"Metric tons,  thousand",0.0,
2,Algeria,Ethane - Production,Ethane,Production,2014,"Metric tons,  thousand",0.0,
3,Algeria,Ethane - Production,Ethane,Production,2013,"Metric tons,  thousand",0.0,
4,Algeria,Ethane - Production,Ethane,Production,2012,"Metric tons,  thousand",27.0,
5,Algeria,Ethane - Production,Ethane,Production,2011,"Metric tons,  thousand",0.0,
6,Algeria,Ethane - Production,Ethane,Production,2010,"Metric tons,  thousand",17.0,
7,Algeria,Ethane - Production,Ethane,Production,2009,"Metric tons,  thousand",50.0,
8,Algeria,Ethane - Production,Ethane,Production,2008,"Metric tons,  thousand",57.0,
9,Algeria,Ethane - Production,Ethane,Production,2007,"Metric tons,  thousand",68.0,
10,Algeria,Ethane - Production,Ethane,Production,2006,"Metric tons,  thousand",68.0,
11,Algeria,Ethane - Production,Ethane,Production,2000,"Metric tons,  thousand",135.0,
12,Algeria,Ethane - Production from plants,Ethane,Production from plants,2016,"Metric tons,  thousand",0.0,
13,Algeria,Ethane - Production from plants,Ethane,Production from plants,2015,"Metric tons,  thousand",0.0,
14,Algeria,Ethane - Production from plants,Ethane,Production from plants,2014,"Metric tons,  thousand",0.0,
15,Algeria,Ethane - Production from plants,Ethane,Production from plants,2013,"Metric tons,  thousand",0.0,
16,Algeria,Ethane - Production from plants,Ethane,Production from plants,2012,"Metric tons,  thousand",27.0,
17,Algeria,Ethane - Production from plants,Ethane,Production from plants,2011,"Metric tons,  thousand",0.0,
18,Algeria,Ethane - Production from plants,Ethane,Production from plants,2010,"Metric tons,  thousand",17.0,
19,Algeria,Ethane - Production from plants,Ethane,Production from plants,2009,"Metric tons,  thousand",50.0,
20,Algeria,Ethane - Production from plants,Ethane,Production from plants,2008,"Metric tons,  thousand",57.0,
21,Algeria,Ethane - Production from plants,Ethane,Production from plants,2007,"Metric tons,  thousand",68.0,
22,Algeria,Ethane - Production from plants,Ethane,Production from plants,2006,"Metric tons,  thousand",68.0,
23,Algeria,Ethane - Production from plants,Ethane,Production from plants,2000,"Metric tons,  thousand",135.0,
24,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2016,"Metric tons,  thousand",0.0,
25,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2015,"Metric tons,  thousand",0.0,
26,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2014,"Metric tons,  thousand",0.0,
27,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2013,"Metric tons,  thousand",0.0,
28,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2012,"Metric tons,  thousand",27.0,
29,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2011,"Metric tons,  thousand",0.0,
30,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2010,"Metric tons,  thousand",17.0,
31,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2009,"Metric tons,  thousand",50.0,
32,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2008,"Metric tons,  thousand",57.0,
33,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2007,"Metric tons,  thousand",68.0,
34,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2006,"Metric tons,  thousand",68.0,
35,Algeria,Ethane - Consumption for non-energy uses,Ethane,Consumption for non-energy uses,2000,"Metric tons,  thousand",135.0,
36,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2016,"Metric tons,  thousand",0.0,
37,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2015,"Metric tons,  thousand",0.0,
38,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2014,"Metric tons,  thousand",0.0,
39,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2013,"Metric tons,  thousand",0.0,
40,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2012,"Metric tons,  thousand",27.0,
41,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2011,"Metric tons,  thousand",0.0,
42,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2010,"Metric tons,  thousand",17.0,
43,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2009,"Metric tons,  thousand",50.0,
44,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2008,"Metric tons,  thousand",57.0,
45,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2007,"Metric tons,  thousand",68.0,
46,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2006,"Metric tons,  thousand",68.0,
47,Algeria,Ethane - Total energy supply,Ethane,Total energy supply,2000,"Metric tons,  thousand",135.0,
48,Algeria,Ethane - Final consumption,Ethane,Final consumption,2016,"Metric tons,  thousand",0.0,
49,Algeria,Ethane - Final consumption,Ethane,Final consumption,2015,"Metric tons,  thousand",0.0,
50,Algeria,Ethane - Final consumption,Ethane,Final consumption,2014,"Metric tons,  thousand",0.0,
51,Algeria,Ethane - Final consumption,Ethane,Final consumption,2013,"Metric tons,  thousand",0.0,
52,Algeria,Ethane - Final consumption,Ethane,Final consumption,2012,"Metric tons,  thousand",27.0,
53,Algeria,Ethane - Final consumption,Ethane,Final consumption,2011,"Metric tons,  thousand",0.0,
54,Algeria,Ethane - Final consumption,Ethane,Final consumption,2010,"Metric tons,  thousand",17.0,
55,Algeria,Ethane - Final consumption,Ethane,Final consumption,2009,"Metric tons,  thousand",50.0,
56,Algeria,Ethane - Final consumption,Ethane,Final consumption,2008,"Metric tons,  thousand",57.0,
57,Algeria,Ethane - Final consumption,Ethane,Final consumption,2007,"Metric tons,  thousand",68.0,
58,Algeria,Ethane - Final consumption,Ethane,Final consumption,2006,"Metric tons,  thousand",68.0,
59,Algeria,Ethane - Final consumption,Ethane,Final consumption,2000,"Metric tons,  thousand",135.0,
60,Argentina,Ethane - Production,Ethane,Production,2019,"Metric tons,  thousand",1074.0,
61,Argentina,Ethane - Production,Ethane,Production,2018,"Metric tons,  thousand",1102.0,
62,Argentina,Ethane - Production,Ethane,Production,2017,"Metric tons,  thousand",980.0,
63,Argentina,Ethane - Production,Ethane,Production,2016,"Metric tons,  thousand",1022.0,
64,Argentina,Ethane - Production,Ethane,Production,2015,"Metric tons,  thousand",907.0,
65,Argentina,Ethane - Production,Ethane,Production,2014,"Metric tons,  thousand",843.0,
66,Argentina,Ethane - Production,Ethane,Production,2013,"Metric tons,  thousand",779.0,
67,Argentina,Ethane - Production,Ethane,Production,2012,"Metric tons,  thousand",1048.0,
68,Argentina,Ethane - Production,Ethane,Production,2011,"Metric tons,  thousand",1019.0,
69,Argentina,Ethane - Production,Ethane,Production,2010,"Metric tons,  thousand",1018.0,
70,Argentina,Ethane - Production,Ethane,Production,2009,"Metric tons,  thousand",1066.0,
71,Argentina,Ethane - Production,Ethane,Production,2008,"Metric tons,  thousand",1069.0,
72,Argentina,Ethane - Production,Ethane,Production,2007,"Metric tons,  thousand",1100.0,
73,Argentina,Ethane - Production from plants,Ethane,Production from plants,2019,"Metric tons,  thousand",1074.0,
