,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Australia,Black Liquor - Production,Black Liquor,Production,2019,Terajoules,15438.0,
1,Australia,Black Liquor - Production,Black Liquor,Production,2018,Terajoules,15220.0,
2,Australia,Black Liquor - Production,Black Liquor,Production,2017,Terajoules,15727.0,1
3,Australia,Black Liquor - Production,Black Liquor,Production,2016,Terajoules,20073.0,
4,Australia,Black Liquor - Production,Black Liquor,Production,2015,Terajoules,20521.0,
5,Australia,Black Liquor - Production,Black Liquor,Production,2014,Terajoules,20977.0,
6,Australia,Black Liquor - Production,Black Liquor,Production,2013,Terajoules,20081.0,
7,Australia,Black Liquor - Production,Black Liquor,Production,2012,Terajoules,21031.0,
8,Australia,Black Liquor - Production,Black Liquor,Production,2011,Terajoules,21761.0,
9,Australia,Black Liquor - Production,Black Liquor,Production,2010,Terajoules,19290.0,
10,Australia,Black Liquor - Production,Black Liquor,Production,2009,Terajoules,6200.0,
11,Australia,Black Liquor - Production,Black Liquor,Production,2008,Terajoules,9107.0,
12,Australia,Black Liquor - Production,Black Liquor,Production,2007,Terajoules,8509.0,
13,Australia,Black Liquor - Production,Black Liquor,Production,2006,Terajoules,7334.0,
14,Australia,Black Liquor - Production,Black Liquor,Production,2005,Terajoules,7223.0,
15,Australia,Black Liquor - Production,Black Liquor,Production,2004,Terajoules,9788.0,
16,Australia,Black Liquor - Production,Black Liquor,Production,2003,Terajoules,9833.0,
17,Australia,Black Liquor - Production,Black Liquor,Production,2002,Terajoules,9472.0,
18,Australia,Black Liquor - Production,Black Liquor,Production,2001,Terajoules,8732.0,
19,Australia,Black Liquor - Production,Black Liquor,Production,2000,Terajoules,8419.0,
20,Australia,Black Liquor - Production,Black Liquor,Production,1999,Terajoules,8299.0,
21,Australia,Black Liquor - Production,Black Liquor,Production,1998,Terajoules,8330.0,
22,Australia,Black Liquor - Production,Black Liquor,Production,1997,Terajoules,8330.0,
23,Australia,Black Liquor - Production,Black Liquor,Production,1996,Terajoules,8394.0,
24,Australia,Black Liquor - Production,Black Liquor,Production,1995,Terajoules,8552.0,
25,Australia,Black Liquor - Production,Black Liquor,Production,1994,Terajoules,8495.0,
26,Australia,Black Liquor - Production,Black Liquor,Production,1993,Terajoules,6594.0,
27,Australia,Black Liquor - Production,Black Liquor,Production,1992,Terajoules,6137.0,
28,Australia,Black Liquor - Production,Black Liquor,Production,1991,Terajoules,6572.0,
29,Australia,Black Liquor - Production,Black Liquor,Production,1990,Terajoules,6240.0,
30,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2019,Terajoules,15438.0,1
31,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2018,Terajoules,15220.0,1
32,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2017,Terajoules,15727.0,1
33,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2016,Terajoules,20073.0,1
