Country or Area,Year,Transaction,Unnamed: 0,Unnamed: 0.1,Quantity,Quantity Footnotes,Conversion_in_kWh,Commodity
Afghanistan,1990,Total energy supply,5,5,37.0,1.0,205350000.0,Coal products
Afghanistan,1990,production,2,2,37.0,1.0,205350000.0,Coal products
Afghanistan,1991,Total energy supply,4,4,35.0,1.0,194250000.0,Coal products
Afghanistan,1991,production,1,1,35.0,1.0,194250000.0,Coal products
Afghanistan,1992,Total energy supply,3,3,0.0,0.0,0.0,Coal products
Afghanistan,1992,production,0,0,0.0,0.0,0.0,Coal products
Afghanistan,2004,"Consumption by manufacturing, construction and non-fuel industry",50,50,0.0,0.0,0.0,Coal products
Afghanistan,2004,"Consumption by other manuf., const. and non-fuel ind.",67,67,0.0,1.0,0.0,Coal products
Afghanistan,2004,Consumption not elsewhere specified (industry),84,84,0.0,1.0,0.0,Coal products
Afghanistan,2004,Final energy consumption,33,33,0.0,0.0,0.0,Coal products
Afghanistan,2004,Total energy supply,101,101,0.0,0.0,0.0,Coal products
Afghanistan,2004,final consumption,118,118,0.0,0.0,0.0,Coal products
Afghanistan,2004,imports,16,16,0.0,1.0,0.0,Coal products
Afghanistan,2005,"Consumption by manufacturing, construction and non-fuel industry",49,49,8.0,1.0,40000000.0,Coal products
Afghanistan,2005,"Consumption by other manuf., const. and non-fuel ind.",66,66,8.0,1.0,40000000.0,Coal products
Afghanistan,2005,Consumption not elsewhere specified (industry),83,83,8.0,1.0,40000000.0,Coal products
Afghanistan,2005,Final energy consumption,32,32,8.0,1.0,40000000.0,Coal products
Afghanistan,2005,Total energy supply,100,100,8.0,0.0,40000000.0,Coal products
Afghanistan,2005,final consumption,117,117,8.0,1.0,40000000.0,Coal products
Afghanistan,2005,imports,15,15,8.0,0.0,40000000.0,Coal products
Afghanistan,2006,"Consumption by manufacturing, construction and non-fuel industry",48,48,28.0,1.0,140000000.0,Coal products
Afghanistan,2006,"Consumption by other manuf., const. and non-fuel ind.",65,65,28.0,1.0,140000000.0,Coal products
Afghanistan,2006,Consumption not elsewhere specified (industry),82,82,28.0,1.0,140000000.0,Coal products
Afghanistan,2006,Final energy consumption,31,31,28.0,1.0,140000000.0,Coal products
Afghanistan,2006,Total energy supply,99,99,28.0,0.0,140000000.0,Coal products
Afghanistan,2006,final consumption,116,116,28.0,1.0,140000000.0,Coal products
Afghanistan,2006,imports,14,14,28.0,0.0,140000000.0,Coal products
Afghanistan,2007,"Consumption by manufacturing, construction and non-fuel industry",47,47,43.0,1.0,215000000.0,Coal products
Afghanistan,2007,"Consumption by other manuf., const. and non-fuel ind.",64,64,43.0,1.0,215000000.0,Coal products
Afghanistan,2007,Consumption not elsewhere specified (industry),81,81,43.0,1.0,215000000.0,Coal products
Afghanistan,2007,Final energy consumption,30,30,43.0,1.0,215000000.0,Coal products
Afghanistan,2007,Total energy supply,98,98,43.0,0.0,215000000.0,Coal products
Afghanistan,2007,final consumption,115,115,43.0,1.0,215000000.0,Coal products
Afghanistan,2007,imports,13,13,43.0,0.0,215000000.0,Coal products
Afghanistan,2008,"Consumption by manufacturing, construction and non-fuel industry",46,46,67.0,1.0,335000000.0,Coal products
Afghanistan,2008,"Consumption by other manuf., const. and non-fuel ind.",63,63,67.0,1.0,335000000.0,Coal products
Afghanistan,2008,Consumption not elsewhere specified (industry),80,80,67.0,1.0,335000000.0,Coal products
Afghanistan,2008,Final energy consumption,29,29,67.0,1.0,335000000.0,Coal products
Afghanistan,2008,Total energy supply,136,136,67.0,0.0,335000000.0,Coal products
Afghanistan,2008,exports,26,26,1.0,0.0,7770000.0,Coal products
Afghanistan,2008,final consumption,114,114,67.0,1.0,335000000.0,Coal products
Afghanistan,2008,imports,12,12,67.0,0.0,335000000.0,Coal products
Afghanistan,2008,production,12,12,1.0,1.0,7770000.0,Coal products
Afghanistan,2009,"Consumption by manufacturing, construction and non-fuel industry",45,45,107.0,1.0,535000000.0,Coal products
Afghanistan,2009,"Consumption by other manuf., const. and non-fuel ind.",62,62,107.0,1.0,535000000.0,Coal products
Afghanistan,2009,Consumption not elsewhere specified (industry),79,79,107.0,1.0,535000000.0,Coal products
Afghanistan,2009,Final energy consumption,28,28,107.0,1.0,535000000.0,Coal products
Afghanistan,2009,Total energy supply,134,134,107.0,0.0,535000000.0,Coal products
Afghanistan,2009,exports,25,25,20.0,0.0,155400000.0,Coal products
Afghanistan,2009,final consumption,113,113,107.0,1.0,535000000.0,Coal products
Afghanistan,2009,imports,11,11,107.0,0.0,535000000.0,Coal products
Afghanistan,2009,production,11,11,20.0,1.0,155400000.0,Coal products
Afghanistan,2010,"Consumption by manufacturing, construction and non-fuel industry",44,44,205.0,1.0,1025000000.0,Coal products
Afghanistan,2010,"Consumption by other manuf., const. and non-fuel ind.",61,61,205.0,1.0,1025000000.0,Coal products
