Country or Area,Year,Transaction,Unnamed: 0,Unnamed: 0.1,Quantity,Quantity Footnotes,Conversion_in_kWh,Commodity
Albania,2014,Consumption by road,27,27,29.0,0.0,290000000.0,Liquid biofuels
Albania,2014,Consumption in transport,20,20,29.0,0.0,290000000.0,Liquid biofuels
Albania,2014,Final consumption,41,41,29.0,0.0,290000000.0,Liquid biofuels
Albania,2014,Final energy consumption,13,13,29.0,0.0,290000000.0,Liquid biofuels
Albania,2014,Imports,6,6,29.0,0.0,290000000.0,Liquid biofuels
Albania,2014,Total energy supply,34,34,29.0,0.0,290000000.0,Liquid biofuels
Albania,2015,Consumption by road,26,26,34.0,0.0,340000000.0,Liquid biofuels
Albania,2015,Consumption in transport,19,19,34.0,0.0,340000000.0,Liquid biofuels
Albania,2015,Final consumption,40,40,34.0,0.0,340000000.0,Liquid biofuels
Albania,2015,Final energy consumption,12,12,34.0,0.0,340000000.0,Liquid biofuels
Albania,2015,Imports,5,5,34.0,0.0,340000000.0,Liquid biofuels
Albania,2015,Total energy supply,33,33,34.0,0.0,340000000.0,Liquid biofuels
Albania,2016,Consumption by road,25,25,92.0,0.0,920000000.0,Liquid biofuels
Albania,2016,Consumption in transport,18,18,92.0,0.0,920000000.0,Liquid biofuels
Albania,2016,Final consumption,39,39,92.0,0.0,920000000.0,Liquid biofuels
Albania,2016,Final energy consumption,11,11,92.0,0.0,920000000.0,Liquid biofuels
Albania,2016,Imports,4,4,92.0,0.0,920000000.0,Liquid biofuels
Albania,2016,Total energy supply,32,32,92.0,0.0,920000000.0,Liquid biofuels
Albania,2017,Consumption by road,24,24,87.87,0.0,878700000.0,Liquid biofuels
Albania,2017,Consumption in transport,17,17,87.87,0.0,878700000.0,Liquid biofuels
Albania,2017,Final consumption,38,38,87.87,0.0,878700000.0,Liquid biofuels
Albania,2017,Final energy consumption,10,10,87.87,0.0,878700000.0,Liquid biofuels
Albania,2017,Imports,3,3,87.87,0.0,878700000.0,Liquid biofuels
Albania,2017,Total energy supply,31,31,87.87,0.0,878700000.0,Liquid biofuels
Albania,2018,Consumption by road,23,23,125.0,0.0,1250000000.0,Liquid biofuels
Albania,2018,Consumption in transport,16,16,125.0,0.0,1250000000.0,Liquid biofuels
Albania,2018,Final consumption,37,37,125.0,0.0,1250000000.0,Liquid biofuels
Albania,2018,Final energy consumption,9,9,125.0,0.0,1250000000.0,Liquid biofuels
Albania,2018,Imports,2,2,125.0,0.0,1250000000.0,Liquid biofuels
Albania,2018,Total energy supply,30,30,125.0,0.0,1250000000.0,Liquid biofuels
Albania,2019,Consumption by road,22,22,130.0,0.0,1300000000.0,Liquid biofuels
Albania,2019,Consumption in transport,15,15,130.0,0.0,1300000000.0,Liquid biofuels
Albania,2019,Final consumption,36,36,130.0,0.0,1300000000.0,Liquid biofuels
Albania,2019,Final energy consumption,8,8,130.0,0.0,1300000000.0,Liquid biofuels
Albania,2019,Imports,1,1,130.0,0.0,1300000000.0,Liquid biofuels
Albania,2019,Total energy supply,29,29,130.0,0.0,1300000000.0,Liquid biofuels
Albania,2020,Consumption by road,21,21,100.0,1.0,1000000000.0,Liquid biofuels
Albania,2020,Consumption in transport,14,14,100.0,1.0,1000000000.0,Liquid biofuels
Albania,2020,Final consumption,35,35,100.0,1.0,1000000000.0,Liquid biofuels
Albania,2020,Final energy consumption,7,7,100.0,1.0,1000000000.0,Liquid biofuels
Albania,2020,Imports,0,0,100.0,1.0,1000000000.0,Liquid biofuels
Albania,2020,Total energy supply,28,28,100.0,1.0,1000000000.0,Liquid biofuels
Argentina,2003,Consumption by road,142,142,0.0,0.0,0.0,Liquid biofuels
Argentina,2003,Consumption in transport,124,124,0.0,0.0,0.0,Liquid biofuels
Argentina,2003,Final consumption,178,178,0.0,0.0,0.0,Liquid biofuels
Argentina,2003,Final energy consumption,106,106,0.0,0.0,0.0,Liquid biofuels
Argentina,2003,Production,59,59,0.0,0.0,0.0,Liquid biofuels
Argentina,2003,Total energy supply,160,160,0.0,0.0,0.0,Liquid biofuels
Argentina,2004,Consumption by road,141,141,0.0,0.0,0.0,Liquid biofuels
Argentina,2004,Consumption in transport,123,123,0.0,0.0,0.0,Liquid biofuels
Argentina,2004,Exports,76,76,0.0,0.0,0.0,Liquid biofuels
Argentina,2004,Final consumption,177,177,0.0,0.0,0.0,Liquid biofuels
Argentina,2004,Final energy consumption,105,105,0.0,0.0,0.0,Liquid biofuels
Argentina,2004,Production,58,58,0.0,0.0,0.0,Liquid biofuels
Argentina,2004,Stock changes,85,85,0.0,0.0,0.0,Liquid biofuels
Argentina,2004,Total energy supply,159,159,0.0,0.0,0.0,Liquid biofuels
Argentina,2005,Consumption by road,140,140,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2005,Consumption in transport,122,122,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2005,Exports,75,75,0.0,0.0,0.0,Liquid biofuels
Argentina,2005,Final consumption,176,176,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2005,Final energy consumption,104,104,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2005,Production,57,57,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2005,Stock changes,84,84,0.0,0.0,0.0,Liquid biofuels
Argentina,2005,Total energy supply,158,158,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2006,Consumption by road,139,139,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2006,Consumption in transport,121,121,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2006,Exports,74,74,0.0,0.0,0.0,Liquid biofuels
Argentina,2006,Final consumption,175,175,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2006,Final energy consumption,103,103,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2006,Production,56,56,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2006,Stock changes,83,83,0.0,0.0,0.0,Liquid biofuels
Argentina,2006,Total energy supply,157,157,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2007,Consumption by road,138,138,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2007,Consumption in transport,120,120,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2007,Exports,73,73,168.0,0.0,1680000000.0,Liquid biofuels
Argentina,2007,Final consumption,174,174,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2007,Final energy consumption,102,102,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2007,Production,55,55,186.0,0.0,1860000000.0,Liquid biofuels
Argentina,2007,Stock changes,82,82,0.0,0.0,0.0,Liquid biofuels
Argentina,2007,Total energy supply,156,156,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2008,Consumption by road,137,137,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2008,Consumption in transport,119,119,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2008,Exports,72,72,725.0,0.0,7250000000.0,Liquid biofuels
Argentina,2008,Final consumption,173,173,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2008,Final energy consumption,101,101,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2008,Production,54,54,743.0,0.0,7430000000.0,Liquid biofuels
Argentina,2008,Stock changes,81,81,0.0,0.0,0.0,Liquid biofuels
Argentina,2008,Total energy supply,155,155,18.0,0.0,180000000.0,Liquid biofuels
Argentina,2009,Consumption by road,136,136,54.0,0.0,540000000.0,Liquid biofuels
Argentina,2009,Consumption in transport,118,118,54.0,0.0,540000000.0,Liquid biofuels
Argentina,2009,Exports,71,71,1150.0,0.0,11500000000.0,Liquid biofuels
Argentina,2009,Final consumption,172,172,54.0,0.0,540000000.0,Liquid biofuels
Argentina,2009,Final energy consumption,100,100,54.0,0.0,540000000.0,Liquid biofuels
Argentina,2009,Production,53,53,1168.0,0.0,11680000000.0,Liquid biofuels
Argentina,2009,Stock changes,80,80,-36.0,0.0,-360000000.0,Liquid biofuels
Argentina,2009,Total energy supply,154,154,54.0,0.0,540000000.0,Liquid biofuels
Argentina,2010,Consumption by road,181,181,648.0,0.0,6207560000.0,Liquid biofuels
Argentina,2010,Consumption in transport,117,117,550.0,0.0,5500000000.0,Liquid biofuels
Argentina,2010,Exports,70,70,1433.0,0.0,14330000000.0,Liquid biofuels
Argentina,2010,Final consumption,239,239,648.0,0.0,6207560000.0,Liquid biofuels
Argentina,2010,Final energy consumption,123,123,648.0,0.0,6207560000.0,Liquid biofuels
Argentina,2010,Production,52,52,1963.0,0.0,19630000000.0,Liquid biofuels
Argentina,2010,Stock changes,79,79,-20.0,0.0,-200000000.0,Liquid biofuels
Argentina,2010,Total energy supply,210,210,648.0,0.0,6207560000.0,Liquid biofuels
Argentina,2010,consumption by transport,35,35,98.0,0.0,707560000.0,Liquid biofuels
Argentina,2010,production,10,10,101.0,0.0,729220000.0,Liquid biofuels
Argentina,2010,stock changes,13,13,3.0,0.0,21660000.0,Liquid biofuels
Argentina,2011,Consumption by road,179,179,951.0,0.0,9126360000.0,Liquid biofuels
Argentina,2011,Consumption in transport,116,116,813.0,0.0,8130000000.0,Liquid biofuels
Argentina,2011,Exports,69,69,1757.0,0.0,17570000000.0,Liquid biofuels
Argentina,2011,Final consumption,237,237,951.0,0.0,9126360000.0,Liquid biofuels
Argentina,2011,Final energy consumption,121,121,951.0,0.0,9126360000.0,Liquid biofuels
Argentina,2011,Production,51,51,2625.0,0.0,26250000000.0,Liquid biofuels
Argentina,2011,Stock changes,78,78,54.0,0.0,540000000.0,Liquid biofuels
Argentina,2011,Total energy supply,208,208,952.0,0.0,9136360000.0,Liquid biofuels
Argentina,2011,consumption by transport,34,34,138.0,0.0,996360000.0,Liquid biofuels
Argentina,2011,production,9,9,141.0,0.0,1018020000.0,Liquid biofuels
Argentina,2011,stock changes,12,12,3.0,0.0,21660000.0,Liquid biofuels
Argentina,2012,Biodiesel,88,88,37.0,0.0,370000000.0,Liquid biofuels
Argentina,2012,Consumption by road,177,177,1107.0,0.0,10519560000.0,Liquid biofuels
Argentina,2012,Consumption in transport,115,115,909.0,0.0,9090000000.0,Liquid biofuels
Argentina,2012,Exports,68,68,1639.0,0.0,16390000000.0,Liquid biofuels
Argentina,2012,Final consumption,235,235,1107.0,0.0,10519560000.0,Liquid biofuels
Argentina,2012,Final energy consumption,119,119,1107.0,0.0,10519560000.0,Liquid biofuels
Argentina,2012,Production,50,50,2655.0,0.0,26550000000.0,Liquid biofuels
Argentina,2012,Stock changes,77,77,70.0,0.0,700000000.0,Liquid biofuels
Argentina,2012,Total energy supply,206,206,1144.0,0.0,10889560000.0,Liquid biofuels
Argentina,2012,Transformation,86,86,37.0,0.0,370000000.0,Liquid biofuels
Argentina,2012,"Transformation in electricity, CHP and heat plants",87,87,37.0,0.0,370000000.0,Liquid biofuels
Argentina,2012,consumption by transport,33,33,198.0,0.0,1429560000.0,Liquid biofuels
Argentina,2012,production,8,8,210.0,0.0,1516200000.0,Liquid biofuels
Argentina,2012,stock changes,11,11,12.0,0.0,86640000.0,Liquid biofuels
Argentina,2013,Consumption by road,175,175,1260.0,0.0,11554720000.0,Liquid biofuels
Argentina,2013,Consumption in transport,114,114,884.0,0.0,8840000000.0,Liquid biofuels
Argentina,2013,Exports,67,67,1149.0,0.0,11490000000.0,Liquid biofuels
Argentina,2013,Final consumption,233,233,1260.0,0.0,11554720000.0,Liquid biofuels
Argentina,2013,Final energy consumption,117,117,1260.0,0.0,11554720000.0,Liquid biofuels
Argentina,2013,Production,49,49,2034.0,0.0,20340000000.0,Liquid biofuels
Argentina,2013,Total energy supply,204,204,1259.0,0.0,11550280000.0,Liquid biofuels
Argentina,2013,consumption by transport,32,32,376.0,0.0,2714720000.0,Liquid biofuels
Argentina,2013,production,7,7,374.0,0.0,2700280000.0,Liquid biofuels
Argentina,2014,Consumption by road,173,173,1494.0,0.0,13480500000.0,Liquid biofuels
Argentina,2014,Consumption in transport,113,113,969.0,0.0,9690000000.0,Liquid biofuels
Argentina,2014,Exports,66,66,1603.0,0.0,16030000000.0,Liquid biofuels
Argentina,2014,Final consumption,231,231,1494.0,0.0,13480500000.0,Liquid biofuels
Argentina,2014,Final energy consumption,115,115,1494.0,0.0,13480500000.0,Liquid biofuels
Argentina,2014,Production,48,48,2573.0,0.0,25730000000.0,Liquid biofuels
Argentina,2014,Total energy supply,202,202,1501.0,0.0,13533820000.0,Liquid biofuels
Argentina,2014,consumption by transport,31,31,525.0,0.0,3790500000.0,Liquid biofuels
Argentina,2014,production,6,6,531.0,0.0,3833820000.0,Liquid biofuels
Argentina,2015,Consumption by road,171,171,1649.0,0.0,14721920000.0,Liquid biofuels
Argentina,2015,Consumption in transport,112,112,1013.0,0.0,10130000000.0,Liquid biofuels
Argentina,2015,Exports,65,65,788.0,0.0,7880000000.0,Liquid biofuels
Argentina,2015,Final consumption,229,229,1649.0,0.0,14721920000.0,Liquid biofuels
Argentina,2015,Final energy consumption,113,113,1649.0,0.0,14721920000.0,Liquid biofuels
Argentina,2015,Production,47,47,1811.0,0.0,18110000000.0,Liquid biofuels
Argentina,2015,Total energy supply,200,200,1668.0,0.0,14886900000.0,Liquid biofuels
Argentina,2015,consumption by transport,30,30,636.0,0.0,4591920000.0,Liquid biofuels
Argentina,2015,production,5,5,645.0,0.0,4656900000.0,Liquid biofuels
Argentina,2016,Consumption by road,169,169,1754.0,0.0,15535620000.0,Liquid biofuels
Argentina,2016,Consumption in transport,111,111,1033.0,0.0,10330000000.0,Liquid biofuels
Argentina,2016,Exports,64,64,1626.0,0.0,16260000000.0,Liquid biofuels
Argentina,2016,Final consumption,227,227,1754.0,0.0,15535620000.0,Liquid biofuels
Argentina,2016,Final energy consumption,111,111,1754.0,0.0,15535620000.0,Liquid biofuels
Argentina,2016,Production,46,46,2659.0,0.0,26590000000.0,Liquid biofuels
Argentina,2016,Total energy supply,198,198,1737.0,0.0,15412880000.0,Liquid biofuels
Argentina,2016,consumption by transport,29,29,721.0,0.0,5205620000.0,Liquid biofuels
